features/geometry/type,features/geometry/coordinates/0,features/geometry/coordinates/1,features/type,features/properties/mb_lengte,features/properties/breedte_in_m,features/properties/wgs84_geo_e,features/properties/sunk_in_period,features/properties/bodemdiepte_oud,features/properties/wgs84_geo_n,features/properties/bazoverzicht,features/properties/code_diepte,features/properties/totaal,features/properties/thuishaven,features/properties/opmerkingen,features/properties/mb_30,features/properties/datedredged,features/properties/mb_breedte,features/properties/tonnenmaatbruto,features/properties/codetermote,features/properties/depth_20,features/properties/nationaliteit,features/properties/code_vaargeul,features/properties/bouwjaar,features/properties/vorige_diepten,features/properties/code_lengte,features/properties/length_5,features/properties/opgeruimd_tot_op,features/properties/code_historiek,features/properties/teken_op_kaart,features/properties/lengte_in_m,features/properties/lading,features/properties/code_teken,features/properties/bodemdiepte_aangepast,features/properties/berging_datum,features/properties/termote,features/properties/dredgeddepth,features/properties/mb_strekking,features/properties/holte_in_m,features/properties/wraknummer,features/properties/teken_10,features/properties/gevonden_door,features/properties/opgeruimd_door_firma,features/properties/type_schip,features/properties/totaal_klasse,features/properties/name,features/properties/side_scan,features/properties/multibeam,features/properties/utm_31n_northing,features/properties/fairway_35,features/properties/datefound,features/properties/utm_31n_easting,features/properties/werf,features/properties/gezonken_op,features/properties/bijzondere_opmerkingen,features/properties/eigenaar,features/properties/code_mb,features/properties/hout___staal,features/id
Point,2.671158826158553,51.13999261405945,Feature,u,,"002\xb0 40,270 E",5,0,"51\xb0 08,400 N",1967 / 10 - 105,5,68.75,Nieuwpoort,,30,,,"29,99",1,20,Belgisch,1,1943,"00,2 Obstn GLLWS",2,2.5,,5,"0,3 Obstn",,-,3,-0.24,,8,,,,B_108_240,7.5,,,Vissersboot,3,N.757  ZULMA MARIA,,,476994.88,8.75,,5665444.19,"Ch. Meert - De Decker, Boom",1949/01/30,"Toen de Zulma Maria op terugweg was van het vissen in het Westhindergebied, kwam hij terecht in een zware mistbank. Om 1u30 's ochtends begon het schip te trillen en enkele ogenblikken later liep hij aan de grond. 
Bij lodingen werd duidelijk dat het voorschip nog water onder zich had, maar dat het achterschip vastgekomen was op een zandbank. 
Toen de mist optrok werd duidelijk dat ze gestrand waren voor Oostduinkerke. Bij laagwater werden de ankers uitgezet met de bedoeling het schip bij hoogwater te kunnen bevrijden. Tevergeefs. Doordat verschillende rompplanken waren ontzet en losgekomen stroomde het water binnen, kwam het volledige schip onder water te staan en werd de motor onbruikbaar. 
Bij het volgende laagwater constateerde men dat Zulma Maria al 45\xb0 slagzij had en reddeloos verloren was.

(Voordien N.79)","H. Van Kemmelbeke & M. Kerkhoek, Mannekensvere",5,Hout,65
Point,2.82183899937843,51.42768580442216,Feature,u,"3,20","002\xb0 49,310 E",99,"21,00","51\xb0 25,661 N",2003 / 08 - 090,3,"49,25",,,6,,,,3,12,,3,,16 Wk,2,2.5,,,NIET op kaart,"11,63",,1,20.55,,,,,,B_125_249,2.5,Ter Streep,,,5,Helikopter,,2014/06/02,487613.8,26.25,2003/02/10,5697401.97,,2003/02/04,Op 4 februari 2003 stortte deze helikopter tijdens een beloodsing in zee. De 4 inzittenden konden met Sea King helikopter van Koksijde gered worden. Het wrak werd op 10 februari door Ter Streep gelokaliseerd met multibeam en Sidescan. Het wrak werd opgeruimd op 21 februari 2003. Nadien werd een Side Scan onderzoek uitgevoerd met ms Ter Streep. Er werd niets meer gevonden.,Noordzee Helikopters Vlaanderen,1,,304
Point,2.868695807613874,51.52988448893382,Feature,"21,5",,"002\xb0 52,122 E",1,"22,00","51\xb0 31,793 N",1996 / 24 - 160,3,"56,00",,,24,,"5,00",,1,12,,1,,"18,0 Wk GLLWS",3,3.75,,1,"18,0 Wk",,,3,21.73,,258,,,,B_131_252,7.5,Ter Streep,,,4,Torpedoboot S20,,2001/02/08,490891.78,8.75,,5708760.9,,,"Het wrak ligt tussen twee ravels . Het hoogste punt steekt ongeveer 3,2 m boven de onmiddelijke omgeving uit.

B_131_252

Midden 51\xb0 31'.793 - 002\xb0 52'.122
Pt_01  51\xb0 31'.798 - 002\xb0 52'.129
Pt_02  51\xb0 31'.791 - 002\xb0 52'.117

Dieptecijfer ongewijzigd in LAT",,4,,257
Point,2.502663569678906,51.41144415818482,Feature,"20,83",,"002\xb0 30,160 E",1,"31,00","51\xb0 24,687 N",1997 / 05 - 069,2,"52,00",Zeebrugge,,24,1989/05/19,"6,67","100,00",1,8,Duits,1,,"27,5 Wk__ GLLWS",3,3.75,,3,"27,0 Wk__",,Torpedo's,3,30.47,,227,"27,60","315,00",,B_124_230_b,7.5,Ter Streep,-,Snelboot,4,S185 A-stuk,,1995/05/04,465411.75,8.75,,5695697.99,,,"Wrak ligt in twee stukken naast elkaar.

B_124_230_b

Midden 51\xb0 24'.687 - 002\xb0 30'.160
Pt_01  51\xb0 24'.693 - 002\xb0 30'.156
Pt_02  51\xb0 24'.683 - 002\xb0 30'.168

Dieptecijfer gewijzigd naar LAT",Duitse Marine,4,Aluminium,227
Point,2.625524218703546,51.28053692546032,Feature,15,,"002\xb0 37,531 E",99,"25,00","51\xb0 16,832 N",,3,"38,00",,,6,,,,3,12,,1,,,3,3.75,,,,,,3,23.64,,,,,,B_117_238,7.5,Eurosense,,,6,onbekend,,2015/03/09,473882,8.75,,5681089,,,NIEUW,,1,,306
Point,2.827014693711859,51.29489242354983,Feature, ,,"002\xb0 49,621 E",1,"11,00","51\xb0 17,694 N",1996 / 17 - 129,4,41.25,-,,0,1985/08/29,"8,4","488,00",1,20,Duits,1,1940,"07,3 Wk__ GLLWS",4,5,,3,"07,2 Wk__",,-,3,8.37,,116,"7,30",265,,B_117_249,7.5,,,Vissersboot,5,LIES-Sperrbrecher 141,,2018/04/18,487938.8,8.75,,5682633.08,Schiedam,1944/03/31,"Bij de inval van de Duitsers in Nederland stond het schip nog in de steigers, en werd dan ingelijfd door de Kriegsmarine . Op 31 maart 1944 is het schip vergaan door een mijnontploffing ten noorden van Oostende.

B_117_249

Midden 51\xb0 17'.694 - 002\xb0 49'.621
Pt_01  51\xb0 17'.696 - 002\xb0 49'.642
Pt_02  51\xb0 17'.694 - 002\xb0 49'.603

Dieptecijfer gewijzigd naar LAT",J. Vermaas Rotterdam NV Lies,0,Staal,115
Point,2.49649639331852,51.395493168842435,Feature,89,"11,50","002\xb0 29,790 E",99,"30,00","51\xb0 23,730 N",1997 / 05 - 069,3,"39,25",-,,6,1987/07/03,"13,00","2215,00",1,12,Brits,1,1890,"23,0 Wk; 20,5 Wk__ GLLWS",4,5,,0,"20,4 Wk__","86,80",Glas & Aardewerk,3,29.94,,210,"20,50","49,00","5,30",B_123_229,7.5,,-,Stoomschip,6,KILMORE,,2009/04/09,464970.66,8.75,,5693927,"Edward's S.B. Co.,  Great-Britain",1906/07/29,"Het wrak werd ge\xefdentificeerd als KILMORE aan de hand van de scheepsbel. Het wrak staat recht op de bodem en steekt \xb1 8 m boven de omliggende bodem uit.

B_123_229

Midden 51\xb0 23'.730 - 002\xb0 29'.790
Pt_01  51\xb0 23'.747 - 002\xb0 29'.820
Pt_02  51\xb0 23'.716 - 002\xb0 29'.765

Dieptecijfer gewijzigd naar LAT","Wm. Johnston & Co.,  Great-Britain",1,Staal,210
Point,2.898649957563809,51.231649943332215,Feature,u,,002\xb0 53.919 E,2,0,51\xb0 13.899 N,,5,63.75,,,30,,,,2,20,,1,,,2,2.5,,1,,,,1,3.95,,60,,,,B_113_253,2.5,,,,3,HM Monitor 21,,,492923.78,8.75,,5675590.63,,,,,5,,39
Point,2.64401724545195,51.36618082782708,Feature,15,,"002\xb0 38,641 E",99,0,"51\xb0 21,971 N",,3,"64,25",,,6,,,,3,12,,4,,,3,3.75,,,,,,3,25.32,,,,,,B_122_239_c,7.5,Eurosense,,,3,onbekend,,2015/03/16,475218,35,,5690607,,,NIEUW,,1,,285
Point,2.806403177986843,51.20724019586926,Feature,u,,"002\xb0 48,384 E",1,0,"51\xb0 12,434 N",2003 / 15 - 137,5,"38,75",,,0,,,,1,20,,1,,"07,6 Wk GLLWS",2,2.5,,3,"07,5 Wk",,,3,9.3,,36,,"270,00",,B_112_248_a,7.5,Ter Streep,,,6,Landungsprahm C,,2003/06/10,486476,8.75,,5672889,,,"Vermoedelijk stalen schip. Steekt ongeveer tot 1,4 m boven de omringende bodem uit.

Dieptecijfer gewijzigd naar LAT",,0,,15
